class,clean_tweet,split
1,rt boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place,0.695576985339209
1,rt dawg rt you ever fuck a bitch and she start to cry you be confused as shit,-0.26867047031081037
1,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,0.13544688269643085
1,madison x the shit just blows me claim you so faithful and down for somebody but still fucking with hoes 128514 128514 128514,-0.1509232676927613
1,brighterdays i can not just sit up and hate on another bitch i got too much shit going on,0.14491396504849186
1,8220 cause i m tired of you big bitches coming for us skinny girls 8221,-0.40166391455780864
1,amp you might not get ya bitch back amp thats that,-0.9561248624574697
1,hobbies include fighting mariam bitch,1.0573325063244874
1,murda gang bitch its gang land,1.9508132770790538
1,bad bitches is the only thing that i like,0.06103106183043369
1,bitch get up off me,-0.1683373914202953
1,bitch nigga miss me with it,0.21861365827735146
1,bitch plz whatever,-3.2649029374871845
1,bitch who do you love,0.3116625178646407
1,black bottle amp a bad bitch,-0.8424868336614173
1,broke bitch cant tell me nothing,-1.152334625382608
1,cancel that bitch like nino,1.1435024982224973
1,cant you see these hoes wont change,1.0843884606002592
1,fuck no that bitch dont even suck dick 128514 128514 128514 the kermit videos bout to fuck ig up,0.20363267764237653
1,got ya bitch tip toeing on my hardwood floors 128514,0.7812487524571574
1,her pussy lips like heaven doors 128524,-0.4177535949613023
1,hoe what its hitting for,1.6955728097752805
1,i met that pussy on ocean dr i gave that pussy a pill 128524,1.3015812780890763
1,i need a trippy bitch who fuck on hennessy,-1.725967295761121
1,i spend my money how i want bitch its my business,2.097833042509114
1,i txt my old bitch my new bitch pussy wetter,0.8114869694799309
1,if you aint bout that murder game pussy nigga shut up,-1.0612415353341536
1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that,-0.46143704768867994
1,is that ya bitch,-0.601348044124449
1,it aint nothing to cut a bitch off,0.9070198179211926
1,jus meet son now he ya mane ass bitches shots,-0.03921517981342959
1,lames crying over hoes thats tears of a clown,-0.6505202879334189
1,like snoop said in 94 we dont love these hoes,-0.3857051312632433
1,most hated but the hoes favorite 2mw sevenone,0.49926985398703316
1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,0.5417555364380907
1,post a picture of that pussy get 200 likes,-1.662675980076614
1,quick piece of pussy call it a drive by,-0.16555836086327852
1,running round here like some brand new pussy thats bout to get fucked,-0.3036761382961674
1,these bitches even worst they ll send them guys for you,-0.7923290194778458
1,we dont trust these niggas all these bitches,-1.5120316519856507
1,yall niggas b cuffing hoes cause yall aint never have bitches,-0.5749956503440645
1,you dodge a bullet 128517 8220 all da bitches i cut off pregnant or bound to be thank god 128591 8221,-0.034756069689324445
1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 teanna trump probably cleaner than most of these twitter hoes but,0.13143412079313396
1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 gay niggas couldn t wait to act like bitches tonight,0.11938423945511219
1,amp he s gone always be a hoe,-0.7534328472696857
1,i m a fucking fag they said,0.10337131156533062
1,females think dating a pussy is cute now how does doing this stuff make him a pussy,-0.020315009143297307
2,simplyaddictedtoguys woof woof hot scally lad,1.5825627874480401
1,have ya ever asked your bitch for other bitches kanye voice yes,0.5890463154603028
1,how u gone bring ur side bitch to a game where you know ya gf friends at 128553 128553 128553 128553 i swear,-0.7512726899434791
2,lemmie eat a oreo amp do these dishes one oreo lol,2.3695806378993316
1,bitch fuck u maybe you ll get better just,0.3965939130686112
1,fuck red malone man bitch ass niggah could you please use complete sentences,-0.9252769658842528
1,hennessey venom gt 128584 that s one sexy bitch,0.5680814785596796
1,him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao,-0.7419499033959975
1,hen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,1.3958755330111077
1,yo fuck skateboarding all y all some wood pushing faggots man ball is life,-0.1446573281112768
1,128514 128514 128514 128514 i ain t shit damn skippy lol,-0.2908582826934714
1,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt 30 chance,1.565128465808406
1,kudabrazyy 0 rings 0 mvps 0 bitches lol,1.5122403554501775
1,ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn,-1.453804544964688
1,the facts on tattoos tattoo he s a pussy with not tattooing them nipples,-0.675134302069268
1,128175 128175 128175 rt ayden bitches be wanting to act like niggas so bad 128553 128553 128553 that shit aint cuteeeee but niggas act like bitches,-1.2384207352586587
1,get worshiping bitch woof woof,-1.558208923551402
1,wow rt i m lost are those buttcheek piercings yeah she s a hoe,2.240680198957581
1,ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her,-0.3354840218060181
0,queer gaywad,-0.83604268541517
1,this bitch was so ungrateful fr lulwhore,0.9281735632209563
0,baby24 thunduh alsarabsss hes a beaner smh you can tell hes a mexican,1.1911127337447258
1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,0.5894693896031054
1,on my way to fuck yo bitch me as a 9 year old,-0.7927784615620515
1,thunduh how come you never bring me food i dont have a car retard,-1.5849124875081408
1,how bout them cowboys shutup pussy,-1.8827023018572806
1,lmaooooooooooo this nigga nuh care lt bitch want likes for some depressing shit foh,-0.2086482323111773
1,cee aerii girl you know i was spitting that g shit to you amp you was going lbvs bitch plz,-0.8744634799599321
1,cee let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again,-1.0270839720052793
1,harlem shake is just an excuse to go full retard for 30 seconds,0.31458005001394146
1,amen miley 128591 but she don t need to act like a hoe just bc she s emotionally damaged foh,0.05229598356321797
1,having one loyal female is wayyyyy better than having hoes idc 128175,0.862540827849885
1,pussy licking pussy meow meow stopwhitepeople2014 128049 128533,1.0523694596410325
1,thunduh im the bitch okay nudes pat 128554 128527 128056 wow,-0.5343161143439678
0,you re fucking gay blacklisted hoe holding out for tehgodclan anyway,-1.2392373773958494
1,the fuck be wrong with these bitches nobody knows,1.8580369074061862
1,i hate a i m pregnant type of bitch,1.4223266821916773
1,q got bitches in the dm but i don t ever read em which is y your top 3,0.33850816616102763
2,baseball season for the win yankees this is where the love started,0.23071667318584266
1,little stupid as bitch i don t fuck with yoooooouuuu,-0.05922872656535854
1,she really asked me that dead ass serious tho all i could say was bitch wheet lol,0.4377042643071726
2,i m an early bird and i m a night owl so i m wise and have worms,-0.30686230130917364
2,overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day,1.9249712427107484
1,ghost bravo aw fag don t tweet aw to me lol,0.8636518364161514
1,i didn t say anything tho kiss me then faggot,0.19740675153150114
2,this the i play soccer cheat on girls and wear khaki coloured cargos haircut 128514 yup,1.813854224595744
